titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Unrest,Jasen Peploe,1995,58,Marketing,27,TH,Phanat Nikhom
I Could Go on Singing,Parry Bythell,1997,11,Business Development,8,CN,Qiujima
I'm Reed Fish,Perry Brassington,2005,94,Support,52,PL,Kuczbork-Osada
"Company, The",Albina Scamadine,1996,14,Product Management,79,ID,Margasari
"Crow, The: Wicked Prayer",Corinne O' Mulderrig,1995,13,Legal,56,CN,Yoiqag
"Deluge, The (Potop)",Freemon Probet,1985,5,Legal,45,AF,Ghazni
24 City (Er shi si cheng ji),Andi Gerger,2008,100,Human Resources,13,DO,Santa Cruz de El Seibo
"Affair of the Heart, An",Merrilee Woolis,1998,23,Product Management,14,ID,Ringinrejo
Simply Irresistible,Wiatt Reven,1987,79,Accounting,98,ID,Cimenga
Always for Pleasure,Lisle Benedit,1983,20,Support,20,CN,He’an
Citizen Ruth,Suzanne Guerin,1985,73,Research and Development,57,MG,Moramanga
Hidalgo,Gennifer Ewbanche,2010,25,Research and Development,14,CN,Shuangtang
Hearts Divided,Jackson Gooch,2009,48,Research and Development,38,CN,Wenlin
Dragonwyck,Lorant Polk,2008,7,Research and Development,31,ID,Mungkin
Like Stars on Earth (Taare Zameen Par),Goldina Melvin,2012,49,Legal,81,CM,Bogo
Man on the Flying Trapeze,Viviyan Gaskin,1984,47,Research and Development,33,FR,Tours
Frequently Asked Questions About Time Travel,Kelli Drakes,1998,52,Product Management,16,MX,El Tejocote
12 Dates of Christmas,Candida Baly,2008,47,Services,58,SE,Säffle
Hamlet Goes Business (Hamlet liikemaailmassa),Gayle Tryme,1999,36,Business Development,100,FI,Petäjävesi
Extraterrestrial (Extraterrestre),Jade Gelsthorpe,2006,44,Product Management,68,PH,Tocok
21 tapaa pilata avioliitto,Anette Harewood,1990,44,Legal,67,PH,San Juan
"Touch of Class, A",Mathew Surgeoner,2009,77,Product Management,51,UG,Bukomansimbi
Anchorman: The Legend of Ron Burgundy,Gilly McOnie,2009,48,Training,56,RU,Perovo
Bleak Moments,Tyne Maly,1965,43,Research and Development,59,LA,Xam Nua
Possession,Mattheus Probyn,1994,51,Business Development,66,PH,Rajal Norte
"Memphis Belle: A Story of a Flying Fortress, The",Charita Flacknell,2010,52,Support,80,AR,Pozo Hondo
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu),Lishe Croster,2007,1,Engineering,5,TZ,Bukonyo
Boy Meets Boy,Cello Raimbauld,2012,16,Training,67,PK,Minchinābād
Death Hunt,Jemimah Ivanov,2003,92,Research and Development,34,CZ,Heřmanův Městec
Cowspiracy: The Sustainability Secret,Ryun Huddart,2006,77,Product Management,52,ID,Roun Satu
America Before Columbus,Wendel Crippell,2000,3,Human Resources,47,CN,Yangjiaqiao
Salvage,Herve Mioni,1990,40,Services,70,SE,Vällingby
"Bishop Murder Case, The",Michail Cattermole,2011,87,Sales,34,PH,Arcangel
Fat Albert,Mile Geekie,2006,55,Business Development,48,SY,Mas‘adah
"Good Wife, The",Mortimer Sommerlin,1988,50,Research and Development,33,CN,Mazongshan
One Lucky Elephant,Curtis Meriel,2007,65,Legal,10,US,Milwaukee
Head On,Falito Girke,1992,41,Human Resources,54,CZ,Mikulášovice
"Omega Man, The",Brien Elliston,2003,96,Engineering,76,CN,Heishui
Empire of the Sun,Burtie Spowart,2004,10,Research and Development,61,IQ,Ḩalabjah
"Arrival, The",Cortney Froschauer,2010,69,Sales,23,TH,Bang Lamung
It Happened Tomorrow,Tobye MacNish,2006,47,Human Resources,98,JP,Chiba
Teenage Mutant Ninja Turtles III,Rooney Kopf,2002,12,Accounting,21,PL,Ciechocin
Dead Time: Kala,Ora Ingerman,2008,32,Services,15,CN,Nanding
Tales of Manhattan,Fowler Pflieger,2012,35,Legal,56,ID,Kabongan Kidul
Bungee Jumping of Their Own (Beonjijeompeureul hada),Minnaminnie Darinton,1993,46,Product Management,99,CN,Wenfeng Zhen
Alone in the Dark,Isak Ovill,2009,29,Support,48,EG,Ḩawsh ‘Īsá
Don't Make Waves,Dionis Harrow,2003,90,Services,23,MY,Kangar
Hellboy II: The Golden Army,Mable Cory,2011,18,Support,54,DO,Bayaguana
Diary of a Wimpy Kid,Beaufort Chaucer,1994,79,Accounting,31,PH,Bangan-Oda
Radio,Tiffie Stedall,2003,21,Business Development,77,CN,Baimangpu
Trapped in the Closet: Chapters 1-12,Gretel Loachhead,2001,39,Research and Development,35,TZ,Kilimatinde
"Mother's Courage: Talking Back to Autism, A",Kacey Longmead,2012,61,Marketing,51,PH,Kajatian
Jaws 3-D,Aksel Greengrass,1994,23,Legal,74,CA,Cochrane
Magic Man,Nick O' Driscoll,2004,24,Services,69,PE,Pajarillo
"Ballroom, The (Chega de Saudade)",Charmion Rodie,2009,57,Accounting,5,PH,General Luna
Foolproof,Miles Holehouse,2004,75,Product Management,4,CN,Gongrong
Black Moon,Lisha Westgate,2002,11,Legal,43,MK,Sredno Konjare
The Jackie Robinson Story,Luciana Hallifax,1992,65,Business Development,94,RU,Presnenskiy
Be with Me,Dodie Kobpal,2012,86,Services,39,PL,Jemielno
"Legend of Bagger Vance, The",Ryon Jerram,2012,65,Legal,42,CN,Gancheng
Mad Dogs & Englishmen,Quincey Cruickshank,2010,21,Legal,63,RU,Pristen’
One Wonderful Sunday (Subarashiki nichiyobi),Blaine Kirstein,1998,94,Business Development,63,CN,Mingjiu
Born Romantic,Zacharia Bubeer,1996,70,Product Management,31,FI,Kuhmalahti
A Merry Friggin' Christmas,Mora Gorelli,2005,59,Support,79,TZ,Muheza
"Bannen Way, The",Abra Faveryear,2001,45,Engineering,99,CN,Hou’an
"Girl, The",Lulu Stanion,2008,56,Research and Development,34,NO,Oslo
"Family, The (Famiglia, La)",Binny Chalfont,1997,58,Training,74,CZ,Šenov
Amigo,Nettie Hathorn,2000,25,Business Development,33,SY,Al Bahlūlīyah
Casualties of War,Carolee Rowney,2010,31,Marketing,66,JP,Sugito
"Dirty Dozen, The: The Fatal Mission",Olympia De La Haye,1991,43,Marketing,87,BY,Byerazino
"Black Camel, The (Charlie Chan in the Black Camel)",Hermine Van Der Weedenburg,2003,88,Services,13,GT,San Cristóbal Totonicapán
Eve's Bayou,Meredith Marjoribanks,1989,89,Business Development,93,GB,Denton
G.B.F.,Lief Woodroffe,1997,54,Human Resources,69,ID,Pakuncen
"Love Movie, The (Rakkauselokuva)",Bryan St. Quentin,2005,34,Product Management,73,RU,Korkino
Annie Oakley,Lanae Lynagh,1991,11,Support,74,ID,Jorok Dalam
Space Is The Place,Norrie Dawkins,2005,36,Support,16,CU,Arroyo Naranjo
"Missionary, The",Andi Margaritelli,2010,28,Business Development,45,MY,Johor Bahru
"Comebacks, The",Fredek Lockery,1982,33,Marketing,4,CZ,Měcholupy
Home Sweet Hell,Gibbie Lambard,1990,77,Marketing,81,SY,Tall Rif‘at
Some Girl(s),Gale Truluck,1999,19,Human Resources,46,ID,Margasana
Over the Hedge,Peterus Pimley,1995,57,Product Management,79,CM,Douala
Miami Connection,Jackie Paolacci,2011,14,Engineering,30,ID,Terentang
"Extra Man, The",Loren Riha,2006,99,Accounting,95,US,Sacramento
"Crying Game, The",Biddie Bexley,1997,43,Product Management,80,CO,El Retorno
Tapia,Wilmer Smurfitt,1997,85,Marketing,89,CN,Yunzhong
A Night in the Show,Osmond Muckleston,1977,21,Research and Development,5,CN,Yangjia
Captain from Castile,Rosabella Van Castele,1992,60,Product Management,43,BG,Aksakovo
"Banger Sisters, The",Goddart Ledrane,1998,61,Product Management,79,LV,Priekule
Kissing a Fool,Nike Snelgrove,2012,36,Training,9,PE,Palcamayo
Girl on a Bicycle,Derwin Garthland,1992,42,Services,63,PK,Badīn
Delicacy (La délicatesse),Gerhardt Pavlata,1998,35,Product Management,47,SE,Västervik
Street Scenes ,Karel Antonoczyk,2004,57,Engineering,1,FR,Béthune
Down and Derby,Coralyn Garn,2003,7,Business Development,15,PT,Terrugem
Tales of Ordinary Madness (Storie di Ordinaria Follia),Kelly Buxcy,2010,11,Support,98,SE,Järfälla
See This Movie,Darlleen Faithorn,1985,36,Marketing,59,CU,Cruces
Meet John Doe,Emlyn Mottershead,1996,81,Training,54,PE,Mariposa
Kiss of the Damned,Jorry Lamputt,2010,47,Legal,23,ID,Poncokusumo
Fahrenheit 9/11,Vanya Abrahams,1989,50,Research and Development,92,KG,At-Bashi
"Pier, The (Jetée, La)",Shea Starling,1988,2,Research and Development,39,FR,L'Union
In the Fog (V tumane),Roi Inett,2011,63,Legal,89,CN,Longxi
Martin Lawrence: You So Crazy,Ezmeralda Ackroyd,1998,6,Legal,86,LA,Soukkouma
"Captain's Paradise, The",Fabian Pentony,1989,6,Training,93,EG,Basyūn
The Unexpected Love,Norris Magarrell,2011,87,Marketing,61,NL,Haarlem
Against All Flags,Kev Speedy,2000,11,Business Development,55,CN,Anjie
"Love Nest, The",Ramon Jillett,2006,79,Business Development,9,MM,Kayan
Nowhere,Curry Dansey,2003,90,Training,60,IL,Nazareth
Penelope,Trumaine Meriguet,2009,17,Training,13,VN,Thanh Xuân
Hunger,Wilburt Ducket,2004,11,Marketing,32,AL,Krutja e Poshtme
That Certain Woman,Perren Kiley,2009,17,Sales,99,PL,Dziadkowice
"Call of Cthulhu, The",Reinald Bruun,2009,64,Support,46,CN,Dengnan
Fame High,Gilbert Winterton,1993,92,Product Management,7,CN,Xinan
Cry of the Banshee,Fanni Hoppner,1977,65,Engineering,36,MD,Rîşcani
Harem,Onida Nana,1963,74,Sales,15,CN,Songgui
Pride and Prejudice,Caryl Anespie,2000,71,Services,75,PH,Reina Mercedes
"Source, The",Willey Abrahamsen,2009,83,Services,58,CN,Hushi
Kiss Me Goodbye,Alverta Brinded,1988,9,Support,71,ID,Bofuer
Wind Across the Everglades,Laural Archibould,2009,99,Product Management,38,CZ,Rumburk
Untamed Youth,Wilden Windrass,2006,90,Product Management,39,RU,Priyutovo
Zorro,Farica Garrison,2009,96,Services,51,AF,Jabal os Saraj
Murder on the Orient Express,Ericka Ghiriardelli,1992,23,Human Resources,77,ID,Karangdawa Barat
Superman,Sammie Folshom,1994,98,Sales,39,BR,Fernando de Noronha (Distrito Estadual)
"Neon Bible, The",Catlin Sarll,2000,64,Training,27,NG,Runka
Edward Scissorhands,Nikolaos Grassett,1999,11,Product Management,78,BR,Buritis
Kidnapping Mr. Heineken,Toiboid Ladlow,2000,99,Research and Development,46,NE,Tillabéri
"Secret, A (Un secret)",Yance Sinclaire,2001,64,Human Resources,80,BR,Vargem Grande do Sul
"Householder, The (Gharbar)",Vick Fann,2011,5,Marketing,30,CN,Erdu
Emmanuelle 2,Milena Romand,2006,93,Legal,92,CN,Rudong
Minuscule: Valley of the Lost Ants (Minuscule - La vallée des fourmis perdues),Chic Domotor,2010,46,Business Development,93,PL,Świdwin
Fireproof,Barb Liebmann,1998,9,Support,47,CN,Gaoshi
"Farewell, My Queen (Les adieux à la reine)",Lesly Burke,1992,65,Training,92,CN,Sanli
Hall Pass,Murdock Cisson,1989,74,Training,7,CN,Tuopu Luke
"Good Morning, Vietnam",Appolonia Janicek,1996,29,Legal,50,RU,Krivodanovka
"Grand Budapest Hotel, The",Neda Bunston,2008,3,Product Management,66,CN,Lingyuan
"Yes Men Fix the World, The",Susy Attwoull,2004,36,Services,52,SE,Östersund
Girl with a Pearl Earring,Laureen Addionizio,2004,29,Product Management,100,PL,Unisław
Leather Jacket Love Story,Darelle Buncombe,1993,47,Human Resources,40,MA,Tiztoutine
Choking Man,Park Gasticke,2001,30,Services,79,AO,N’dalatando
Seduced and Abandoned (Sedotta e abbandonata),Paxton Samuels,1991,56,Legal,26,PL,Sadkowice
Friends with Money,Essy Frondt,2010,45,Training,6,ID,Cirahab
Houseguest,Evania Courson,2008,83,Business Development,79,CN,Hancheng
Billy Bathgate,Laurella Draysay,1994,71,Sales,30,CZ,Batelov
